section,name,title,in_report,path
ps_score,ps_vs_perturbation_strength,Per-cell PS vs group-level knockdown,True,scratch/results_large_smoke/figures/ps_score/ps_vs_perturbation_strength.png
ps_score/per_target,ps_quadrant_TARGET0,TARGET0 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET0.png
ps_score/per_target,ps_quadrant_TARGET5,TARGET5 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET5.png
ps_score/per_target,ps_quadrant_TARGET1,TARGET1 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET1.png
ps_score/per_target,ps_quadrant_TARGET2,TARGET2 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET2.png
ps_score/per_target,ps_quadrant_TARGET4,TARGET4 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET4.png
ps_score/per_target,ps_quadrant_TARGET3,TARGET3 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET3.png
ps_score/per_target,ps_quadrant_TARGET6,TARGET6 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET6.png
ps_score/per_target,ps_quadrant_TARGET9,TARGET9 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET9.png
ps_score/per_target,ps_quadrant_TARGET8,TARGET8 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET8.png
ps_score/per_target,ps_quadrant_TARGET7,TARGET7 perturbation score vs expression,True,scratch/results_large_smoke/figures/ps_score/per_target/ps_quadrant_TARGET7.png
lochness,lochness_self_enrichment,Self-enrichment per perturbation,True,scratch/results_large_smoke/figures/lochness/lochness_self_enrichment.png
lochness,lochness_by_cluster,lochNESS by cluster,True,scratch/results_large_smoke/figures/lochness/lochness_by_cluster.png
lochness,lochness_self_umap,Self lochNESS on the embedding,True,scratch/results_large_smoke/figures/lochness/lochness_self_umap.png
